#Gene Level Annotation Report
#2023-11-15 03:23:36.667571
#CRAVAT version: hybrid
#Analysis done at http://www.cravat.us.
#Job Id: au198_20231114_215211
#Input file: ERR2348724.sorted.indexed.flagged_1_.vcf
#This report shows analysis results at gene level.
#The composite p-value (Stouffer's combined p-value) and composite FDR of a gene show how probable it is to get the same p-value distribution for the gene as that obtained from the input variants by chance.
#hg19 genomic.
#N/A
#For more information on CRAVAT, visit http://www.cravat.us.

HUGO symbol	Number of variants	Sequence ontology	CGC driver class	CGC inheritance	CGC tumor types somatic	CGC tumor types germline	ClinVar disease identifier	ClinVar XRef	Occurrences in COSMIC	COSMIC gene count (tissue)	Number of samples with gene mutated	GeneCards summary (from http://www.genecards.org)	PubMed article count	PubMed search term	CHASM gene score	CHASM gene p-value	CHASM gene FDR	VEST gene score (non-silent)	VEST gene p-value	VEST gene FDR	Protein 3D gene	Has a mutation in a TCGA Mutation Cluster	NCI pathway hits	NCI pathway IDs	NCI pathway names	TARGET	CGL driver class
NOC2L	4	MS							149	large_intestine(39);endometrium(9);lung(8);skin(25);kidney(2);thyroid(5);cervix(1);central_nervous_system(2);oesophagus(4);NS(4);upper_aerodigestive_tract(4);biliary_tract(4);stomach(12);soft_tissue(1);urinary_tract(3);breast(3);prostate(6);pancreas(2);haematopoietic_and_lymphoid_tissue(1);ovary(3);bone(5);liver(6)	1	 Histone modification by histone acetyltransferases (HAT) and histone deacetylases (HDAC) can control major aspects	0					0.01	0.99514	1							
KLHL17	2	SY							118	large_intestine(21);endometrium(3);lung(7);skin(10);kidney(11);thyroid(5);cervix(1);central_nervous_system(4);genital_tract(1);oesophagus(7);NS(1);upper_aerodigestive_tract(7);biliary_tract(2);stomach(13);urinary_tract(3);liver(2);prostate(8);pancreas(1);small_intestine(2);haematopoietic_and_lymphoid_tissue(2);bone(1);breast(6)	1	 The protein encoded by this gene is expressed in neurons of most regions of the brain. It contains an N-terminal	0														
PLEKHN1	2	MS							136	upper_aerodigestive_tract(6);thyroid(5);large_intestine(31);stomach(2);soft_tissue(2);central_nervous_system(5);pancreas(4);haematopoietic_and_lymphoid_tissue(3);kidney(1);biliary_tract(2);endometrium(6);urinary_tract(3);oesophagus(4);breast(3);skin(28);lung(8);ovary(4);NS(2);prostate(5);bone(4);liver(8)	1	No GeneCards annotation	0					0.15	0.725494776009202	1							
PERM1	7	MS									1	No GeneCards annotation	0					0.101	0.999573911859037	1							
HES4	1	MS							35	thyroid(1);cervix(1);biliary_tract(2);stomach(1);soft_tissue(1);upper_aerodigestive_tract(13);large_intestine(5);urinary_tract(1);oesophagus(1);breast(1);skin(1);lung(2);pancreas(2);liver(3)	1	No GeneCards annotation	4	http://www.ncbi.nlm.nih.gov/pubmed?term=HES4[TIAB]+AND+cancer[MH]				0.045	0.95254	1							
ISG15	2	MS					C4015293	OMIM:616126	29	upper_aerodigestive_tract(2);thyroid(1);large_intestine(9);stomach(2);soft_tissue(1);cervix(1);endometrium(2);lung(3);skin(2);oesophagus(1);prostate(3);kidney(1);pancreas(1)	1	 The protein encoded by this gene is a ubiquitin-like protein that is conjugated to intracellular target proteins	53	http://www.ncbi.nlm.nih.gov/pubmed?term=ISG15[TIAB]+AND+cancer[MH]				0.023	0.98381	1	../MuPIT_Interactive?gm=chr1:1014228						
AGRN	5	SY					C3808739	OMIM:615120	425	large_intestine(108);peritoneum(1);endometrium(17);lung(18);skin(74);kidney(7);thyroid(5);cervix(4);central_nervous_system(9);oesophagus(18);NS(9);upper_aerodigestive_tract(11);biliary_tract(10);stomach(29);soft_tissue(14);urinary_tract(11);breast(15);prostate(14);pancreas(6);adrenal_gland(2);small_intestine(2);haematopoietic_and_lymphoid_tissue(7);ovary(3);bone(6);liver(25)	1	 Agrin is a neuronal aggregating factor that induces the aggregation of acetylcholine receptors and other postsynaptic  proteins on muscle fibers and is crucial for the formation of the neuromuscular junction.(supplied by OMIM)	2	http://www.ncbi.nlm.nih.gov/pubmed?term=AGRN[TIAB]+AND+cancer[MH]													
RNF223	2	MS							19	thyroid(4);adrenal_gland(1);biliary_tract(1);soft_tissue(1);upper_aerodigestive_tract(1);small_intestine(1);haematopoietic_and_lymphoid_tissue(1);liver(2);skin(5);pancreas(2)	1	No GeneCards annotation	0					0.023	0.98381	1							
C1orf159	1	SY							57	upper_aerodigestive_tract(10);large_intestine(10);stomach(1);soft_tissue(3);haematopoietic_and_lymphoid_tissue(2);breast(1);endometrium(2);oesophagus(4);liver(6);skin(9);lung(4);ovary(1);prostate(1);kidney(1);pancreas(2)	1	No GeneCards annotation	0														
SDF4	1	SY							70	upper_aerodigestive_tract(3);thyroid(1);biliary_tract(2);stomach(7);soft_tissue(3);small_intestine(2);haematopoietic_and_lymphoid_tissue(2);large_intestine(11);endometrium(5);urinary_tract(1);lung(5);breast(2);skin(11);oesophagus(3);NS(1);prostate(6);bone(1);kidney(1);liver(3)	1	 This gene encodes a stromal cell derived factor that is a member of the CREC protein family. The encoded protein	2	http://www.ncbi.nlm.nih.gov/pubmed?term=SDF4[TIAB]+AND+cancer[MH]													
